订单号;设备ID;应付金额;实际金额;商品;支付时间;地点;状态;提现
DD201708167493663555814061164;E43A6E078A04172;3.0;3.0;40g双汇玉米热狗肠;2017-01-01 01:33:00;A;已出货未退款;已提现
DD201708167493663388737478695;E43A6E078A04172;5.8;5.8;100g卫龙点心面黑椒牛排味;2017-01-01 19:29:00;A;已出货未退款;已提现
DD201708167493663381827746988;E43A6E078A04172;0.8;0.8;咪咪虾条马来西亚风味;2017-01-01 19:33:00;A;已出货未退款;已提现
DD201708167493683503095993712;E43A6E078A04172;3.0;3.0;250ml维他柠檬茶;2017-01-01 19:55:00;A;已出货未退款;已提现
DD2017081110292488D71D623E8F9;E43A6E078A04172;3.5;3.5;东鹏特饮;2017-01-01 20:18:00;A;已出货未退款;已提现
DD201708167493507701935975302;E43A6E078A04172;3.0;3.0;250ml维他柠檬茶;2017-01-01 20:25:00;A;已出货未退款;已提现
DD2017081018210213E80D235B1C8;E43A6E078A04172;3.0;3.0;卫龙大面筋;2017-01-01 20:25:00;A;已出货未退款;已提现
DD2017081110281595114AF30BC0D;E43A6E078A04172;3.5;3.5;东鹏特饮;2017-01-02 08:50:00;A;已出货未退款;已提现
DD201708167493662937167036721;E43A6E078A04172;1.5;1.5;卫龙亲嘴烧红烧牛肉味;2017-01-02 12:02:00;A;已出货未退款;已提现
DD2017052614372337DD5D9082B98;E43A6E078A04172;4.5;4.5;阿萨姆奶茶;2017-01-02 13:34:00;A;已出货未退款;已提现
DD201708167493000920097772300065;E43A6E078A04172;4.0;4.0;145ml旺仔牛奶盒装;2017-01-02 13:58:00;A;已出货未退款;已提现
DD2017052614334247A1D72F02E30;E43A6E078A04172;2.0;2.0;伊利优酸乳;2017-01-02 15:56:00;A;已出货未退款;已提现
DD201708167493507687358068274;E43A6E078A04172;4.5;4.5;2g韩国海牌海苔;2017-01-02 22:42:00;A;已出货未退款;已提现
DD20170811103326649396032790D;E43A6E078A04172;4.0;4.0;脉动;2017-01-02 22:42:00;A;已出货未退款;已提现
DD201708167493662547010881037;E43A6E078A04172;3.0;3.0;250ml维他柠檬茶;2017-01-03 09:50:00;A;已出货未退款;已提现
DD201708167493683259570660391;E43A6E078A04172;2.0;2.0;75g新麦潮天然酵母面包（北海道牛奶风味）;2017-01-03 14:57:00;A;已出货未退款;已提现
DD2017052616223074032E215F6CA;E43A6E078A04172;3.0;3.0;可口可乐最新款;2017-01-03 15:10:00;A;已出货未退款;已提现
DD201708101523266884F6CA4C7E2;E43A6E078A04172;3.0;3.0;果粒橙;2017-01-03 15:44:00;A;已出货未退款;已提现
DD2017052709451011EA9B9EC6FD5;E43A6E078A04172;1.0;1.0;香豆干;2017-01-03 15:46:00;A;已出货未退款;已提现
DD201708167493661981689081319;E43A6E078A04172;4.5;4.5;78g卫龙亲嘴语辣条;2017-01-03 16:23:00;A;已出货未退款;已提现
DD2017081110210086E681CA92F1C;E43A6E078A04172;3.5;3.5;东鹏特饮;2017-01-03 16:24:00;A;已出货未退款;已提现
DD201708101516124130A4DB5AF4E;E43A6E078A04172;3.0;3.0;果粒橙;2017-01-03 16:25:00;A;已出货未退款;已提现
DD201708167493507242705902679;E43A6E078A04172;3.5;3.5;可乐可乐;2017-01-03 16:25:00;A;已出货未退款;已提现
DD20170816749300299790010723577;E43A6E078A04172;1.8;1.8;32g卫龙亲嘴烧;2017-01-03 20:24:00;A;已出货未退款;已提现
DD20170816749300338025192860536;E43A6E078A04172;6.0;6.0;250ml维他柠檬茶;2017-01-04 00:29:00;A;已出货未退款;已提现
DD201708167493669401533300035;E43A6E078A04172;4.5;4.5;80g四洲粟一烧烧烤味;2017-01-04 08:58:00;A;已出货未退款;已提现
DD20170816749366937728453747;E43A6E078A04172;4.5;4.5;86g合味道浓猪骨味;2017-01-04 09:00:00;A;已出货未退款;已提现
DD20170816749300412660581879242;E43A6E078A04172;6.0;6.0;330ml伊利畅意乳酸菌原味;2017-01-04 13:50:00;A;已出货未退款;已提现
DD2017081674930737246106122382;E43A6E078A04172;2.5;2.5;14g德芙巧克力;2017-01-05 14:54:00;A;已出货未退款;已提现
DD2017052616015557A759E716CE4;E43A6E078A04172;3.0;3.0;统一绿茶;2017-01-05 16:02:00;A;已出货未退款;已提现
