订单号;设备ID;应付金额;实际金额;商品;支付时间;地点;状态;提现
DD201708167493759548618252006;E43A6E078A04134;3.0;3.0;600ml可口可乐;2017-01-01 09:41:00;B;已出货未退款;已提现
DD2017081016294251D0FA5D314F1;E43A6E078A04134;4.5;4.5;营养快线;2017-01-01 09:41:00;B;已出货未退款;已提现
DD20170526144916178D2B0429C26;E43A6E078A04134;3.0;3.0;茉莉蜜茶;2017-01-01 11:56:00;B;已出货未退款;已提现
DD20170526164305220F5FD19CC2B;E43A6E078A04134;3.0;3.0;可口可乐最新款;2017-01-01 20:25:00;B;已出货未退款;已提现
DD201708101628301024CCDCABC17;E43A6E078A04134;2.0;2.0;鸭翅;2017-01-02 13:34:00;B;已出货未退款;已提现
DD201708167493000977911129669717;E43A6E078A04134;4.5;4.5;500ml营养快线原味;2017-01-02 14:36:00;B;已出货未退款;已提现
DD2017081016005760A75384AE967;E43A6E078A04134;3.5;3.5;王老吉（罐）;2017-01-02 15:28:00;B;已出货未退款;已提现
DD201708167493662796458254074;E43A6E078A04134;2.5;2.5;30g无穷农场盐_鸡蛋;2017-01-02 17:03:00;B;已出货未退款;已提现
DD20170816749300152283248653128;E43A6E078A04134;3.5;3.5;250ml燕塘甜牛奶;2017-01-02 18:59:00;B;已出货未退款;已提现
DD20170816749300156131773605949;E43A6E078A04134;4.5;4.5;250ml燕塘原味酸奶;2017-01-02 20:03:00;B;已出货未退款;已提现
DD20170816749300168097665780486;E43A6E078A04134;4.5;4.5;85g嘉士利果乐果香夹心饼干蓝莓味;2017-01-02 20:28:00;B;已出货未退款;已提现
DD201708167493954192317236818;E43A6E078A04134;2.5;2.5;伊利优酸乳;2017-01-02 21:18:00;B;已出货未退款;已提现
DD201708101552011255E431BA372;E43A6E078A04134;3.5;3.5;王老吉（罐）;2017-01-02 23:48:00;B;已出货未退款;已提现
DD20170816749300220148273130327;E43A6E078A04134;1.5;1.5;40g双汇玉米热狗肠;2017-01-03 01:52:00;B;已出货未退款;已提现
DD201708167493507597593656837;E43A6E078A04134;2.0;2.0;85g新麦潮手撕面包（提子味）;2017-01-03 15:20:00;B;已出货未退款;已提现
DD2017081017512019E13B6462016;E43A6E078A04134;2.5;2.5;伊利优酸乳;2017-01-03 15:20:00;B;已出货未退款;已提现
DD201708167493662294715490631;E43A6E078A04134;4.8;4.8;诗竹竹纤维面巾纸;2017-01-03 15:21:00;B;已出货未退款;已提现
DD201708167493662162234846149;E43A6E078A04134;6.0;6.0;250ml维他柠檬茶;2017-01-03 15:23:00;B;已出货未退款;已提现
DD201705261404541575F1DE88E86;E43A6E078A04134;3.0;3.0;威化饼干;2017-01-03 15:44:00;B;已出货未退款;已提现
DD2017081110325934E08DF1E7EC1;E43A6E078A04134;5.0;5.0;阿萨姆奶茶;2017-01-03 15:46:00;B;已出货未退款;已提现
DD2017052614041478A37F9CF8B31;E43A6E078A04134;4.0;4.0;营养快线;2017-01-03 16:17:00;B;已出货未退款;已提现
DD2017071815491717903C5EDF866;E43A6E078A04134;2.5;2.5;可口可乐330ml;2017-01-04 00:43:00;B;已出货未退款;已提现
DD20170816749300348663877578669;E43A6E078A04134;4.5;4.5;150g洽洽原香瓜子;2017-01-04 00:44:00;B;已出货未退款;已提现
DD2017081674930035983543728314;E43A6E078A04134;4.5;4.5;40g乐事薯片黄瓜味;2017-01-04 04:35:00;B;已出货未退款;已提现
DD20170816749300455319908496865;E43A6E078A04134;1.8;1.8;32g卫龙亲嘴烧;2017-01-04 22:33:00;B;已出货未退款;已提现
DD2017081110181727A2E7134E07A;E43A6E078A04134;3.0;3.0;怡宝纯净水;2017-01-05 15:51:00;B;已出货未退款;已提现
DD201708111011584894D0D01C5C4;E43A6E078A04134;5.0;5.0;阿萨姆奶茶;2017-01-05 16:02:00;B;已出货未退款;已提现
DD20170816749300518464427876252;E43A6E078A04134;4.5;4.5;250ml燕塘甜牛奶;2017-01-05 18:03:00;B;已出货未退款;已提现
DD20170816749300543510333771024;E43A6E078A04134;2.5;2.5;30g无穷农场盐_鸡蛋;2017-01-05 19:51:00;B;已出货未退款;已提现
DD20170816749300561780175929282;E43A6E078A04134;3.0;3.0;20g咪咪虾条马来西亚风味;2017-01-05 20:08:00;B;已出货未退款;已提现
DD201708167493187013803098618;E43A6E078A04134;2.5;2.5;30g无穷农场盐_鸡蛋;2017-01-06 16:56:00;B;已出货未退款;已提现
DD2017083112062385D2D8508EAB4;E43A6E078A04134;4.0;4.0;营养快线;2017-01-06 17:40:00;B;已出货未退款;已提现
DD2017081674930064467529463178;E43A6E078A04134;4.0;4.0;450ml美汁源果粒橙;2017-01-06 23:17:00;B;已出货未退款;已提现
DD20170816749300660590292005947;E43A6E078A04134;2.5;2.5;30g无穷农场盐_鸡蛋;2017-01-07 08:59:00;B;已出货未退款;已提现
DD20170816749300717338982713;E43A6E078A04134;5.0;5.0;85g统一老坛酸菜牛肉面;2017-01-07 18:14:00;B;已出货未退款;已提现
DD20170816749300742499370964588;E43A6E078A04134;2.0;2.0;85g新麦潮北海道吐司;2017-01-08 09:12:00;B;已出货未退款;已提现
DD20170816749300795043017073937;E43A6E078A04134;2.5;2.5;250ml维他柠檬茶;2017-01-08 12:49:00;B;已出货未退款;已提现
DD201708167493232951608628311;E43A6E078A04134;3.0;3.0;58g丽芝士纳宝帝奶酪威化饼干;2017-01-08 19:54:00;B;已出货未退款;已提现
DD201708167493954507533325107;E43A6E078A04134;1.5;1.5;香脆肠;2017-01-08 19:54:00;B;已出货未退款;已提现
DD20170816749352952971861448;E43A6E078A04134;6.5;6.5;430g泰奇八宝粥;2017-01-08 19:57:00;B;已出货未退款;已提现
DD201706012031356841DE45CB2AD;E43A6E078A04134;6.0;6.0;红牛;2017-01-08 19:57:00;B;已出货未退款;已提现
DD20170816205246201C412D745E2;E43A6E078A04134;3.0;3.0;芬达330ml;2017-01-08 20:02:00;B;已出货未退款;已提现
DD2017060120471628CE832C32F0B;E43A6E078A04134;3.0;3.0;统一冰红茶;2017-01-08 20:03:00;B;已出货未退款;已提现
DD20170601211213739384DD88267;E43A6E078A04134;6.0;6.0;红牛;2017-01-08 20:13:00;B;已出货未退款;已提现
DD20170816749373549732663964;E43A6E078A04134;3.5;3.5;维他原味豆奶;2017-01-08 20:15:00;B;已出货未退款;已提现
DD2017081621573918C354FF467CD;E43A6E078A04134;3.0;3.0;怡宝纯净水;2017-01-08 20:15:00;B;已出货未退款;已提现
DD201708162206557068091CE19A3;E43A6E078A04134;3.5;3.5;统一绿茶;2017-01-08 20:22:00;B;已出货未退款;已提现
DD201708167493529868800092623;E43A6E078A04134;1.5;1.5;劲仔小鱼（卤香味）;2017-01-08 20:32:00;B;已出货未退款;已提现
DD2017060121331074F1794E4A25B;E43A6E078A04134;3.0;3.0;维他奶;2017-01-08 20:32:00;B;已出货未退款;已提现
DD201708167493847814827171603;E43A6E078A04134;4.5;4.5;50g上好佳日式鱼果;2017-01-08 20:34:00;B;已出货未退款;已提现
