订单号;设备ID;应付金额;实际金额;商品;支付时间;地点;状态;提现
DD201708167493683507186615837;E43A6E078A04228;5.0;5.0;48g好丽友薯愿香烤原味;2017-01-01 09:05:00;C;已出货未退款;已提现
DD201708167493663534589050871;E43A6E078A04228;4.5;4.5;330ml伊利畅意乳酸菌原味;2017-01-01 10:02:00;C;已出货未退款;已提现
DD201708167493663526093267894;E43A6E078A04228;4.5;4.5;160g盼盼手撕面包;2017-01-01 11:33:00;C;已出货未退款;已提现
DD20170810162914447BA58EF3127;E43A6E078A04228;2.0;2.0;鸭翅;2017-01-01 11:56:00;C;已出货未退款;已提现
DD2017081674930612078044876854;E43A6E078A04228;3.0;3.0;40g双汇玉米热狗肠;2017-01-01 12:55:00;C;已出货未退款;已提现
DD2017083114403518C7B2A1F9252;E43A6E078A04228;3.0;3.0;怡宝;2017-01-01 18:42:00;C;已出货未退款;已提现
DD2017052708440399E66AE6DB8CF;E43A6E078A04228;4.0;4.0;阿萨姆奶茶;2017-01-02 08:50:00;C;已出货未退款;已提现
DD201708167493663011130083739;E43A6E078A04228;4.5;4.5;250ml燕塘甜牛奶;2017-01-02 11:55:00;C;已出货未退款;已提现
DD201708167493000663278607429762;E43A6E078A04228;3.0;3.0;13g无穷烤鸡小腿蜂蜜味;2017-01-02 13:04:00;C;已出货未退款;已提现
DD2017081016011883467623F969D;E43A6E078A04228;3.5;3.5;王老吉（罐）;2017-01-02 13:54:00;C;已出货未退款;已提现
DD2017071815335333C75998948C5;E43A6E078A04228;3.0;3.0;雪碧最新款;2017-01-02 14:37:00;C;已出货未退款;已提现
DD2017081015591510ED7D01323D6;E43A6E078A04228;3.5;3.5;王老吉（罐）;2017-01-02 15:56:00;C;已出货未退款;已提现
DD2017081674930011105441136533;E43A6E078A04228;2.0;2.0;5片装益达绿箭口香糖;2017-01-02 16:58:00;C;已出货未退款;已提现
DD2017081674930012276096686693;E43A6E078A04228;4.5;4.5;统一来一桶香辣老坛酸菜牛肉面;2017-01-02 16:59:00;C;已出货未退款;已提现
