订单号;设备ID;应付金额;实际金额;商品;支付时间;地点;状态;提现
DD201708167493663618499909784;E43A6E078A07631;4.5;4.5;68g好丽友巧克力派2枚;2017-01-01 00:53:00;D;已出货未退款;已提现
DD2017081674930611792937303584;E43A6E078A07631;5.0;5.0;85g统一老坛酸菜牛肉面;2017-01-01 12:53:00;D;已出货未退款;已提现
DD201705261444197833969DB2C08;E43A6E078A07631;6.0;6.0;红牛;2017-01-01 20:25:00;D;已出货未退款;已提现
DD201708167493000748411310035113;E43A6E078A07631;1.8;1.8;32g卫龙亲嘴烧;2017-01-02 13:27:00;D;已出货未退款;已提现
DD201708167493000823905948817982;E43A6E078A07631;3.6;3.6;32g卫龙亲嘴烧红烧牛肉味;2017-01-02 13:35:00;D;已出货未退款;已提现
DD2017052614340330D7B5622C7D7;E43A6E078A07631;4.0;4.0;营养快线;2017-01-02 13:54:00;D;已出货未退款;已提现
DD201708167493954123262996203;E43A6E078A07631;3.0;3.0;维他奶;2017-01-02 14:37:00;D;已出货未退款;已提现
DD201708167493662825812423911;E43A6E078A07631;4.5;4.5;500ml加多宝;2017-01-02 16:22:00;D;已出货未退款;已提现
DD201708167493662676786033735;E43A6E078A07631;3.0;3.0;12g劲仔小鱼麻辣味;2017-01-02 18:16:00;D;已出货未退款;已提现
DD201708167493683390472048862;E43A6E078A07631;3.0;3.0;250ml维他柠檬茶;2017-01-02 20:53:00;D;已出货未退款;已提现
DD20170816749368329675770932;E43A6E078A07631;4.5;4.5;68g好丽友巧克力派2枚;2017-01-02 20:58:00;D;已出货未退款;已提现
DD20170816749300170462282213346;E43A6E078A07631;3.0;3.0;85g新麦潮北海道吐司;2017-01-02 21:04:00;D;已出货未退款;已提现
DD20170816749300212279543678028;E43A6E078A07631;2.5;2.5;30g无穷农场盐_鸡蛋;2017-01-02 21:21:00;D;已出货未退款;已提现
DD201708167493684200266227721;E43A6E078A07631;3.0;3.0;250ml维他原味豆奶;2017-01-02 21:50:00;D;已出货未退款;已提现
DD2017052614332115DD01B2A860B;E43A6E078A07631;4.0;4.0;银鹭八宝粥;2017-01-02 23:48:00;D;已出货未退款;已提现
DD20170816749366227330238578;E43A6E078A07631;4.5;4.5;雀巢咖啡;2017-01-03 15:22:00;D;已出货未退款;已提现
DD2017081674930027578042390175;E43A6E078A07631;4.0;4.0;85g新麦潮北海道吐司;2017-01-03 15:55:00;D;已出货未退款;已提现
DD201708101522254667AE7030033;E43A6E078A07631;3.0;3.0;果粒橙;2017-01-03 16:17:00;D;已出货未退款;已提现
DD201705261400221383FA5076D62;E43A6E078A07631;1.5;1.5;小鱼仔;2017-01-03 16:25:00;D;已出货未退款;已提现
DD20170816749300291744895788048;E43A6E078A07631;1.5;1.5;45g双汇泡面拍挡;2017-01-03 19:23:00;D;已出货未退款;已提现
DD20170816749300305276684956068;E43A6E078A07631;2.4;2.4;20g咪咪虾条马来西亚风味;2017-01-03 20:41:00;D;已出货未退款;已提现
DD201708167493758322822398076;E43A6E078A07631;3.0;3.0;250ml维他奶低糖原味;2017-01-04 08:59:00;D;已出货未退款;已提现
DD2017081017485264F8C3FA7A7CC;E43A6E078A07631;1.5;1.5;鸭翅;2017-01-04 08:59:00;D;已出货未退款;已提现
DD20170816749300371727542060351;E43A6E078A07631;4.5;4.5;泰奇八宝粥;2017-01-04 11:19:00;D;已出货未退款;已提现
DD20170816749300390560766252934;E43A6E078A07631;4.5;4.5;70g乐事薯片黄瓜味;2017-01-04 13:36:00;D;已出货未退款;已提现
DD20170816749300419246514391125;E43A6E078A07631;3.0;3.0;13g无穷烤鸡小腿蜂蜜味;2017-01-04 21:06:00;D;已出货未退款;已提现
DD20170527081126486955FFEFCDE;E43A6E078A07631;3.5;3.5;王老吉（罐）;2017-01-05 16:20:00;D;已出货未退款;已提现
DD2017071815521785BDA889667C8;E43A6E078A07631;3.0;3.0;雪碧最新款;2017-01-07 13:02:00;D;已出货未退款;已提现
DD20170816749300693721724786056;E43A6E078A07631;4.0;4.0;55g奥利奥原味芝士饼干;2017-01-07 14:04:00;D;已出货未退款;已提现
DD201708167493845110256964734;E43A6E078A07631;3.0;3.0;10g卫龙亲嘴烧香辣味;2017-01-08 19:53:00;D;已出货未退款;已提现
DD2017081620260594E9935E7EAB0;E43A6E078A07631;3.0;3.0;熊字饼;2017-01-08 19:54:00;D;已出货未退款;已提现
DD2017081620380514493D1D7622E;E43A6E078A07631;3.5;3.5;王老吉（罐）;2017-01-08 19:57:00;D;已出货未退款;已提现
DD20170816211027871DC7EA8AD2B;E43A6E078A07631;3.0;3.0;伊利纯牛奶;2017-01-08 20:07:00;D;已出货未退款;已提现
DD20170601210614902B25B8B47E8;E43A6E078A07631;4.0;4.0;营养快线;2017-01-08 20:10:00;D;已出货未退款;已提现
DD201708167493846497027003763;E43A6E078A07631;5.5;5.5;85g统一老坛酸菜牛肉面;2017-01-08 20:14:00;D;已出货未退款;已提现
DD201708167493847389596743784;E43A6E078A07631;3.2;3.2;2g韩国海牌海苔;2017-01-08 20:30:00;D;已出货未退款;已提现
DD201708167493847721207999786;E43A6E078A07631;4.5;4.5;40g乐事薯片黄瓜味;2017-01-08 20:33:00;D;已出货未退款;已提现
DD201708167493847911420549652;E43A6E078A07631;4.5;4.5;40g乐事薯片黄瓜味;2017-01-08 20:35:00;D;已出货未退款;已提现
DD201708167493848032308682685;E43A6E078A07631;6.5;6.5;70g乐事薯片（黄瓜味）;2017-01-08 20:36:00;D;已出货未退款;已提现
DD2017081623593536C664BA2EF7A;E43A6E078A07631;2.0;2.0;怡宝纯净水;2017-01-08 20:46:00;D;已出货未退款;已提现
DD201708167493848471518045171;E43A6E078A07631;2.5;2.5;30g无穷农场盐_鸡蛋;2017-01-08 20:58:00;D;已出货未退款;已提现
DD20170816749384860638563013;E43A6E078A07631;2.5;2.5;30g无穷农场盐_鸡蛋;2017-01-08 21:02:00;D;已出货未退款;已提现
DD2017081701510215C417B5E8EA5;E43A6E078A07631;1.0;1.0;香豆干;2017-01-08 21:10:00;D;已出货未退款;已提现
DD201708167493735143786884669;E43A6E078A07631;3.5;3.5;250ml维他奶巧克力味;2017-01-08 21:11:00;D;已出货未退款;已提现
DD2017081702312515E62FC80DC80;E43A6E078A07631;1.0;1.0;香豆干;2017-01-08 21:11:00;D;已出货未退款;已提现
DD2017060123225046208C4C55828;E43A6E078A07631;3.0;3.0;卫龙大面筋;2017-01-08 21:16:00;D;已出货未退款;已提现
DD2017060202161028F0D761FBE47;E43A6E078A07631;3.5;3.5;统一冰红茶;2017-01-08 21:22:00;D;已出货未退款;已提现
DD20170816749384989580706047;E43A6E078A07631;3.0;3.0;10g卫龙亲嘴烧香辣味;2017-01-08 21:41:00;D;已出货未退款;已提现
DD2017060207471041ED2C95CBB8B;E43A6E078A07631;2.0;2.0;香脆肠;2017-01-08 21:55:00;D;已出货未退款;已提现
DD201708167493850845095111103;E43A6E078A07631;3.0;3.0;250ml维他柠檬茶;2017-01-08 22:01:00;D;已出货未退款;已提现
DD201708167493852232178374065;E43A6E078A07631;4.5;4.5;78g卫龙亲嘴语辣条;2017-01-08 22:56:00;D;已出货未退款;已提现
DD201708167493852545962421934;E43A6E078A07631;3.0;3.0;250ml维他奶低糖原味;2017-01-08 22:57:00;D;已出货未退款;已提现
DD2017060208530733242FE47E490;E43A6E078A07631;3.0;3.0;果粒橙;2017-01-09 00:09:00;D;已出货未退款;已提现
DD201708167493854460959029562;E43A6E078A07631;1.6;1.6;20g咪咪虾条马来西亚风味;2017-01-09 00:20:00;D;已出货未退款;已提现
DD201708167493855206704688743;E43A6E078A07631;4.5;4.5;330ml伊利畅意乳酸菌原味;2017-01-09 03:11:00;D;已出货未退款;已提现
DD201708167493855729039396291;E43A6E078A07631;2.0;2.0;双汇玉米热狗肠;2017-01-09 04:31:00;D;已出货未退款;已提现
DD20170602111827156815A04062C;E43A6E078A07631;3.0;3.0;可口可乐（500ml）;2017-01-09 07:36:00;D;已出货未退款;已提现
DD201706021127405961A736A6A89;E43A6E078A07631;3.0;3.0;统一绿茶;2017-01-09 07:42:00;D;已出货未退款;已提现
DD201708167493857347387464871;E43A6E078A07631;3.0;3.0;85g新麦潮北海道吐司;2017-01-09 08:00:00;D;已出货未退款;已提现
DD20170602131940183C86F5391A7;E43A6E078A07631;6.0;6.0;红牛;2017-01-09 08:13:00;D;已出货未退款;已提现
DD201708167493857838045196569;E43A6E078A07631;6.5;6.5;100g果王咸柑桔罐装;2017-01-09 08:18:00;D;已出货未退款;已提现
DD201708167493858183129929564;E43A6E078A07631;5.0;5.0;110g顺宝九制话梅;2017-01-09 08:26:00;D;已出货未退款;已提现
DD201708167493859498412935647;E43A6E078A07631;3.0;3.0;13g无穷烤鸡小腿蜂蜜味;2017-01-09 09:22:00;D;已出货未退款;已提现
DD20170602115348799F6BC6ACD87;E43A6E078A07631;3.0;3.0;雪碧（500ml）;2017-01-09 09:29:00;D;已出货未退款;已提现
DD201708167493860934519881491;E43A6E078A07631;2.5;2.5;30g无穷农场盐_鸡蛋;2017-01-09 10:01:00;D;已出货未退款;已提现
DD201708167493861927727567244;E43A6E078A07631;4.5;4.5;600ml雪碧;2017-01-09 11:27:00;D;已出货未退款;已提现
DD20170816749386260828250474;E43A6E078A07631;2.0;2.0;75g新麦潮天然酵母面包（北海道牛奶风味）;2017-01-09 12:14:00;D;已出货未退款;已提现
DD201708171727215757C5F87A20B;E43A6E078A07631;3.0;3.0;果粒橙;2017-01-09 12:19:00;D;已出货未退款;已提现
DD201708167493863030670536956;E43A6E078A07631;6.5;6.5;430g泰奇八宝粥;2017-01-09 12:38:00;D;已出货未退款;已提现
DD201708167493863248348478941;E43A6E078A07631;4.5;4.5;85g嘉士利果乐果香夹心饼干蓝莓味;2017-01-09 12:46:00;D;已出货未退款;已提现
DD20170816749300829690080878398;E43A6E078A07631;2.5;2.5;无穷农场盐_鸡蛋;2017-01-09 13:03:00;D;已出货未退款;已提现
DD201708167493863422277351776;E43A6E078A07631;3.0;3.0;250ml维他柠檬茶;2017-01-09 13:09:00;D;已出货未退款;已提现
DD201708167493863887792297382;E43A6E078A07631;3.0;3.0;250ml维他原味豆奶;2017-01-09 13:21:00;D;已出货未退款;已提现
DD201708167493864028208053395;E43A6E078A07631;3.5;3.5;70g乖媳妇野山泡椒凤爪;2017-01-09 13:28:00;D;已出货未退款;已提现
DD201708167493864476881722257;E43A6E078A07631;4.5;4.5;500ml加多宝;2017-01-09 13:30:00;D;已出货未退款;已提现
DD201708167493865112128818699;E43A6E078A07631;1.2;1.2;10g卫龙亲嘴烧香辣味;2017-01-09 13:58:00;D;已出货未退款;已提现
DD201708167493865714230326477;E43A6E078A07631;3.0;3.0;250ml维他柠檬茶;2017-01-09 14:38:00;D;已出货未退款;已提现
DD201708167493866341627868008;E43A6E078A07631;1.6;1.6;20g咪咪虾条马来西亚风味;2017-01-09 15:13:00;D;已出货未退款;已提现
DD201708167493866546858749281;E43A6E078A07631;3.0;3.0;40g双汇玉米热狗肠;2017-01-09 15:23:00;D;已出货未退款;已提现
DD2017081719584788E76E892E9AB;E43A6E078A07631;4.0;4.0;营养快线;2017-01-09 15:32:00;D;已出货未退款;已提现
