订单号;设备ID;应付金额;实际金额;商品;支付时间;地点;状态;提现
DD201708167493578526890939886;E43A6E078A06874;5.5;5.5;430g泰奇八宝粥;2017-01-01 08:45:00;E;已出货未退款;已提现
DD201708167493596679223858182;E43A6E078A06874;5.0;5.0;500ml农夫果园 (芒果+菠萝+番石榴);2017-01-01 18:59:00;E;已出货未退款;已提现
DD201708167493596702065938611;E43A6E078A06874;5.0;5.0;150g洽洽原香瓜子;2017-01-01 19:11:00;E;已出货未退款;已提现
DD201708167493596819993334758;E43A6E078A06874;5.0;5.0;250ml维他原味豆奶;2017-01-01 19:28:00;E;已出货未退款;已提现
DD201708167493596828748693834;E43A6E078A06874;5.0;5.0;30g无穷农场盐_鸡蛋;2017-01-01 19:34:00;E;已出货未退款;已提现
DD2017081674930909168939680514;E43A6E078A06874;4.0;4.0;55g奥利奥原味芝士饼干;2017-01-01 19:44:00;E;已出货未退款;已提现
DD201708167493578804837461406;E43A6E078A06874;5.5;5.5;430g泰奇八宝粥;2017-01-01 19:57:00;E;已出货未退款;已提现
DD20170527093029701EF116F567E;E43A6E078A06874;4.0;4.0;营养快线;2017-01-01 20:18:00;E;已出货未退款;已提现
DD2017083114495376605B3DD9929;E43A6E078A06874;3.0;3.0;统一冰红茶;2017-01-01 22:17:00;E;已出货未退款;已提现
DD201708167493596870981677744;E43A6E078A06874;5.0;5.0;30g无穷农场盐_鸡蛋;2017-01-02 08:47:00;E;已出货未退款;已提现
DD201708167493596972754353652;E43A6E078A06874;5.0;5.0;268ml雀巢咖啡丝滑拿铁;2017-01-02 08:48:00;E;已出货未退款;已提现
DD201708167493000886602404211123;E43A6E078A06874;4.5;4.5;旺仔牛奶;2017-01-02 13:57:00;E;已出货未退款;已提现
DD201705261433514328818A8FA3F;E43A6E078A06874;2.0;2.0;伊利优酸乳;2017-01-02 15:28:00;E;已出货未退款;已提现
DD201708167493597059709128937;E43A6E078A06874;5.0;5.0;500ml统一阿萨姆奶茶;2017-01-02 16:07:00;E;已出货未退款;已提现
DD20170816749300130459495371848;E43A6E078A06874;2.0;2.0;145ml旺仔牛奶盒装;2017-01-02 17:46:00;E;已出货未退款;已提现
DD20170816749300194927501977448;E43A6E078A06874;4.0;4.0;双汇玉米热狗肠;2017-01-02 21:17:00;E;已出货未退款;已提现
DD20170816749300216167858379323;E43A6E078A06874;4.5;4.5;250ml红牛;2017-01-02 21:25:00;E;已出货未退款;已提现
DD20170816749300219460569744911;E43A6E078A06874;4.5;4.5;益力多100g*5瓶;2017-01-02 23:01:00;E;已出货未退款;已提现
DD20170816749300229112037656709;E43A6E078A06874;4.5;4.5;68g好丽友巧克力派2枚;2017-01-03 01:53:00;E;已出货未退款;已提现
DD20170816749300238989984527426;E43A6E078A06874;6.0;6.0;250ml维他柠檬茶;2017-01-03 01:54:00;E;已出货未退款;已提现
DD20170816749300241781600245405;E43A6E078A06874;4.5;4.5;越南LIPO奶味面包干100g;2017-01-03 07:26:00;E;已出货未退款;已提现
DD201708167493597688091849414;E43A6E078A06874;5.0;5.0;脉动（青柠）;2017-01-03 10:01:00;E;已出货未退款;已提现
DD201708167493598275216743886;E43A6E078A06874;5.0;5.0;500ml统一阿萨姆奶茶;2017-01-03 11:50:00;E;已出货未退款;已提现
DD20170816749300256090326331648;E43A6E078A06874;2.0;2.0;145ml旺仔牛奶盒装;2017-01-03 12:15:00;E;已出货未退款;已提现
DD20170816749300263883524189723;E43A6E078A06874;4.0;4.0;奥利奥原味芝士;2017-01-03 13:19:00;E;已出货未退款;已提现
DD20170810180437421BC09C7115E;E43A6E078A06874;3.5;3.5;东鹏特饮;2017-01-03 15:10:00;E;已出货未退款;已提现
DD201708167493590932518185121;E43A6E078A06874;5.0;5.0;12g劲仔小鱼麻辣味;2017-01-03 15:16:00;E;已出货未退款;已提现
DD201708310410036205FB1CD488D;E43A6E078A06874;4.0;4.0;银鹭八宝粥;2017-01-03 15:33:00;E;已出货未退款;已提现
DD201708167493599012021940759;E43A6E078A06874;4.9;4.9;优益C活菌型乳酸菌饮品;2017-01-03 16:22:00;E;已出货未退款;已提现
DD20170527083323909D750797BDB;E43A6E078A06874;1.5;1.5;香豆干;2017-01-03 16:24:00;E;已出货未退款;已提现
DD20170816749300280597969086526;E43A6E078A06874;3.0;3.0;250ml维他原味豆奶;2017-01-03 17:49:00;E;已出货未退款;已提现
DD20170816749300281667727644319;E43A6E078A06874;3.5;3.5;维他奶（巧克力味）;2017-01-03 18:44:00;E;已出货未退款;已提现
DD2017081674930030981783752878;E43A6E078A06874;3.5;3.5;维他原味豆奶;2017-01-03 20:49:00;E;已出货未退款;已提现
DD20170816749300324311779705732;E43A6E078A06874;6.0;6.0;268ml雀巢咖啡丝滑拿铁;2017-01-03 22:06:00;E;已出货未退款;已提现
DD201708167493310994276352579;E43A6E078A06874;4.5;4.5;100g*5瓶益力多;2017-01-04 00:42:00;E;已出货未退款;已提现
DD201708167493954422608932991;E43A6E078A06874;4.0;4.0;银鹭八宝粥;2017-01-04 00:43:00;E;已出货未退款;已提现
DD20170816749300351112199336234;E43A6E078A06874;4.5;4.5;250ml维他椰子植物蛋白饮料;2017-01-04 03:04:00;E;已出货未退款;已提现
DD201708167493758440843915514;E43A6E078A06874;3.0;3.0;250ml维他柠檬茶;2017-01-04 08:59:00;E;已出货未退款;已提现
DD201705261609034859E5A3E2F83;E43A6E078A06874;6.0;6.0;红牛;2017-01-04 08:59:00;E;已出货未退款;已提现
DD20170816749300381471015814161;E43A6E078A06874;3.0;3.0;250ml维他柠檬茶;2017-01-04 12:13:00;E;已出货未退款;已提现
DD20170816749300447216349908641;E43A6E078A06874;4.0;4.0;上好佳田园薯片;2017-01-04 21:09:00;E;已出货未退款;已提现
DD2017081674930718027511408558;E43A6E078A06874;6.0;6.0;600ml可口可乐;2017-01-04 21:38:00;E;已出货未退款;已提现
DD20170816749300458710613507806;E43A6E078A06874;4.5;4.5;30g无穷农场盐_鸡蛋;2017-01-04 23:37:00;E;已出货未退款;已提现
DD20170816749300460663780968195;E43A6E078A06874;4.5;4.5;80g香飘飘椰果奶茶原味;2017-01-05 00:33:00;E;已出货未退款;已提现
DD20170816749300475452654400487;E43A6E078A06874;2.5;2.5;30g无穷农场盐_鸡蛋;2017-01-05 01:25:00;E;已出货未退款;已提现
DD201708167493591132364691479;E43A6E078A06874;5.0;5.0;600ml脉动青柠;2017-01-05 12:08:00;E;已出货未退款;已提现
DD201708167493579092371641208;E43A6E078A06874;5.5;5.5;86g合味道海鲜风味;2017-01-05 12:27:00;E;已出货未退款;已提现
DD201708167493579262675472671;E43A6E078A06874;5.5;5.5;430g泰奇八宝粥;2017-01-05 15:30:00;E;已出货未退款;已提现
DD20170816749300494969862617245;E43A6E078A06874;2.0;2.0;双汇玉米热狗肠;2017-01-05 15:32:00;E;已出货未退款;已提现
DD2017052708120970D71003E548E;E43A6E078A06874;1.5;1.5;香豆干;2017-01-05 15:51:00;E;已出货未退款;已提现
DD2017081110073912D5B15DD26E9;E43A6E078A06874;1.5;1.5;鸭翅;2017-01-05 16:20:00;E;已出货未退款;已提现
DD201708167493591150723686005;E43A6E078A06874;5.0;5.0;500ml统一阿萨姆奶茶;2017-01-05 17:03:00;E;已出货未退款;已提现
DD20170816749300578467042743569;E43A6E078A06874;3.5;3.5;34g公仔迷你杯牛肉味;2017-01-06 01:04:00;E;已出货未退款;已提现
DD201708167493318471937072216;E43A6E078A06874;4.5;4.5;100g*5瓶益力多;2017-01-07 13:02:00;E;已出货未退款;已提现
DD20170816749300669180594717089;E43A6E078A06874;3.0;3.0;无穷烤鸡小腿（蜂蜜）;2017-01-07 13:52:00;E;已出货未退款;已提现
DD20170816749300696586742350235;E43A6E078A06874;3.0;3.0;250ml维他奶低糖原味;2017-01-07 14:15:00;E;已出货未退款;已提现
DD20170816749300759064872516201;E43A6E078A06874;5.0;5.0;480ml小茗同学冷泡青柠红茶;2017-01-08 11:55:00;E;已出货未退款;已提现
DD20170816749300765682674861778;E43A6E078A06874;3.5;3.5;维他奶（巧克力味）;2017-01-08 12:08:00;E;已出货未退款;已提现
DD201708167493591429537637571;E43A6E078A06874;5.0;5.0;268ml雀巢咖啡丝滑拿铁;2017-01-08 12:26:00;E;已出货未退款;已提现
DD201708167493691394795512197;E43A6E078A06874;4.0;4.0;阿萨姆奶茶;2017-01-08 20:00:00;E;已出货未退款;已提现
DD20170816210341389EB76D992E5;E43A6E078A06874;3.5;3.5;东鹏特饮;2017-01-08 20:03:00;E;已出货未退款;已提现
DD201708167493690717606097039;E43A6E078A06874;4.0;4.0;阿萨姆奶茶;2017-01-08 20:05:00;E;已出货未退款;已提现
DD20170816210550524D4BEBB7F01;E43A6E078A06874;4.0;4.0;阿萨姆奶茶;2017-01-08 20:06:00;E;已出货未退款;已提现
DD201708162115352533939EFBFFA;E43A6E078A06874;3.0;3.0;可口可乐330ml;2017-01-08 20:10:00;E;已出货未退款;已提现
DD201708162124327604BDCC89AC6;E43A6E078A06874;3.0;3.0;雪碧最新款;2017-01-08 20:12:00;E;已出货未退款;已提现
DD201708167493552479531819367;E43A6E078A06874;6.0;6.0;红牛;2017-01-08 20:25:00;E;已出货未退款;已提现
DD20170816222653574CBF80DBAD8;E43A6E078A06874;2.0;2.0;怡宝纯净水;2017-01-08 20:32:00;E;已出货未退款;已提现
DD201708167493344844646949063;E43A6E078A06874;3.0;3.0;250ml维他原味豆奶;2017-01-08 20:37:00;E;已出货未退款;已提现
DD2017081622314154D7173F6C3AA;E43A6E078A06874;4.0;4.0;阿萨姆奶茶;2017-01-08 20:37:00;E;已出货未退款;已提现
DD201708167493482560544566596;E43A6E078A06874;4.5;4.5;口味王槟榔（绿）;2017-01-08 20:38:00;E;已出货未退款;已提现
DD20170817003503193B76D5E24B0;E43A6E078A06874;3.0;3.0;雪碧最新款;2017-01-08 20:56:00;E;已出货未退款;已提现
DD201708167493326143922739739;E43A6E078A06874;6.0;6.0;250ml维他柠檬茶;2017-01-08 21:12:00;E;已出货未退款;已提现
DD201708167493325980806094805;E43A6E078A06874;4.5;4.5;250ml燕塘红枣牛奶;2017-01-08 21:15:00;E;已出货未退款;已提现
